Company Name,Industry,Symbol,Series,ISIN Code,Fetch_Time
Lenskart Solutions Ltd.,Consumer Services,LENSKART,EQ,INE956O01016,2026-07-22 02:10:57 IST
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,2026-07-22 02:10:57 IST
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,2026-07-22 02:10:57 IST
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,2026-07-22 02:10:57 IST
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,2026-07-22 02:10:57 IST
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,2026-07-22 02:10:57 IST
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,2026-07-22 02:10:57 IST
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,2026-07-22 02:10:57 IST
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,2026-07-22 02:10:57 IST
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,2026-07-22 02:10:57 IST
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,2026-07-22 02:10:57 IST
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,2026-07-22 02:10:57 IST
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,2026-07-22 02:10:57 IST
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,2026-07-22 02:10:57 IST
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,2026-07-22 02:10:57 IST
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,2026-07-22 02:10:57 IST
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,2026-07-22 02:10:57 IST
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,2026-07-22 02:10:57 IST
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,2026-07-22 02:10:57 IST
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,2026-07-22 02:10:57 IST
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,2026-07-22 02:10:57 IST
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,2026-07-22 02:10:57 IST
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,2026-07-22 02:10:57 IST
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,2026-07-22 02:10:57 IST
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,2026-07-22 02:10:57 IST
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,2026-07-22 02:10:57 IST
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,2026-07-22 02:10:57 IST
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,2026-07-22 02:10:57 IST
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,2026-07-22 02:10:57 IST
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,2026-07-22 02:10:57 IST
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,2026-07-22 02:10:57 IST
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,2026-07-22 02:10:57 IST
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,2026-07-22 02:10:57 IST
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,2026-07-22 02:10:57 IST
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,2026-07-22 02:10:57 IST
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,2026-07-22 02:10:57 IST
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01026,2026-07-22 02:10:57 IST
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,2026-07-22 02:10:57 IST
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,2026-07-22 02:10:57 IST
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,2026-07-22 02:10:57 IST
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,2026-07-22 02:10:57 IST
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,2026-07-22 02:10:57 IST
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,2026-07-22 02:10:57 IST
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,2026-07-22 02:10:57 IST
